worker_id,tag_id,time_step,timestamp_s,x,y,z,current_segment,position_reliability,reliability_status,status,tracking_status,visible_anchor_count,tracking_risk_score,mapping_method,mapping_confidence,continuity_score,flight_signal_reliability,source_trial,source_position_type
WORKER_01,TAG_001,0,0.0001319999999977881,201.26815265090335,-7.732286748212534,-0.971499978452921,S001,0.3,poor,tracking_lost,no_tracking,0,70.0,start_segment_seed,0.2,0.5,1.0,const4-trial3-tdoa2-traj1,mocap_ground_truth
WORKER_02,TAG_002,0,10.001409999999996,202.6130705169602,-8.40474668328381,-0.9704999764263631,S001,0.3,poor,tracking_lost,no_tracking,0,70.0,start_segment_seed,0.2,0.5,1.0,const4-trial1-tdoa3-traj3,mocap_ground_truth
WORKER_03,TAG_003,0,20.003213999999993,177.7320739622229,10.558613665706213,-0.971499978452921,S001,0.3,poor,tracking_lost,no_tracking,0,70.0,start_segment_seed,0.2,0.5,1.0,const1-trial5-tdoa2,mocap_ground_truth
WORKER_01,TAG_001,1,1.0001319999999978,201.67163121725753,-7.732286748212534,-0.9604999785125257,S001,0.3,poor,tracking_lost,no_tracking,0,70.0,continuity_fallback,0.2,0.4,1.0,const4-trial3-tdoa2-traj1,mocap_ground_truth
WORKER_02,TAG_002,1,11.001409999999996,202.4785883499659,-8.40474668328381,-0.9704999764263631,S001,0.3,poor,tracking_lost,no_tracking,0,70.0,continuity_fallback,0.2,0.4,1.0,const4-trial1-tdoa3-traj3,mocap_ground_truth
WORKER_03,TAG_003,1,21.003213999999993,177.7320739622229,10.558613665706213,-0.971499978452921,S001,0.3,poor,tracking_lost,no_tracking,0,70.0,continuity_fallback,0.2,0.4,1.0,const1-trial5-tdoa2,mocap_ground_truth
WORKER_01,TAG_001,2,2.0001319999999976,200.32671335120068,-12.305012102202934,-0.9084999774396421,S001,0.3,poor,tracking_lost,no_tracking,0,70.0,continuity_fallback,0.2,0.4,1.0,const4-trial3-tdoa2-traj1,mocap_ground_truth
WORKER_02,TAG_002,2,12.001409999999996,206.3788437484565,-8.539237868663784,-0.9354999800026418,S001,0.3,poor,tracking_lost,no_tracking,0,70.0,continuity_fallback,0.2,0.4,1.0,const4-trial1-tdoa3-traj3,mocap_ground_truth
WORKER_03,TAG_003,2,22.003213999999993,186.20505972491816,3.1615583880935896,-0.8924999748170377,S001,0.3,poor,tracking_lost,no_tracking,0,70.0,continuity_fallback,0.2,0.4,1.0,const1-trial5-tdoa2,mocap_ground_truth
WORKER_01,TAG_001,3,3.0001319999999976,195.88848118667596,-14.187898717951084,-0.6534999822080136,S001,0.3,poor,tracking_lost,no_tracking,0,70.0,continuity_fallback,0.2,0.4,1.0,const4-trial3-tdoa2-traj1,mocap_ground_truth
WORKER_02,TAG_002,3,13.001409999999996,201.94061158393177,-10.960092232060383,-0.8854999755322934,S001,0.3,poor,tracking_lost,no_tracking,0,70.0,continuity_fallback,0.2,0.4,1.0,const4-trial1-tdoa3-traj3,mocap_ground_truth
WORKER_03,TAG_003,3,23.003213999999993,170.46950786590452,12.307009096074388,-0.7424999688565732,S001,0.3,poor,tracking_lost,no_tracking,0,70.0,continuity_fallback,0.2,0.4,1.0,const1-trial5-tdoa2,mocap_ground_truth
WORKER_01,TAG_001,4,4.000131999999998,195.35050442064184,-9.346189991157884,-0.10049997910857211,S001,0.3,poor,tracking_lost,no_tracking,0,70.0,continuity_fallback,0.2,0.4,1.0,const4-trial3-tdoa2-traj1,mocap_ground_truth
WORKER_02,TAG_002,4,14.001409999999996,199.65425441817226,-12.305012102202934,-0.5844999764859677,S001,0.3,poor,tracking_lost,no_tracking,0,70.0,continuity_fallback,0.2,0.4,1.0,const4-trial1-tdoa3-traj3,mocap_ground_truth
